L,a,b,L,c,h,X,Y,Z,sRGB R,sRGB G,sRGB B,HEX,spot con
39.9632836,5.21756025,0.52456084,39.9632836,5.24386299,5.74108717,0.113520675,0.112288582,0.118535664,103,91,93,#675b5d,752.04
39.8991977,5.21668167,0.537779462,39.8991977,5.24432783,5.88574035,0.113138157,0.111903265,0.118077826,103,91,93,#675b5d,765.015
39.8401562,5.20993222,0.560505213,39.8401562,5.23999617,6.14048969,0.112778336,0.111549057,0.117618181,103,91,93,#675b5d,775.045
39.7899074,5.19638395,0.570964874,39.7899074,5.22765789,6.27035482,0.112461984,0.11124819,0.117260603,103,91,93,#675b5d,781.7125
39.7420539,5.1968413,0.58544387,39.7420539,5.22971357,6.42748798,0.112179579,0.110962168,0.116904155,103,91,93,#675b5d,787.6975
39.6941974,5.18595847,0.600485214,39.6941974,5.22060799,6.60489886,0.111882109,0.110676619,0.116546352,103,91,93,#675b5d,797.415
39.6545598,5.1814109,0.61584906,39.6545598,5.21788166,6.77822823,0.111642228,0.110440481,0.116239922,102,91,93,#665b5d,804.8825
39.6207591,5.15773803,0.62803657,39.6207591,5.19583406,6.94249433,0.111410925,0.110239381,0.115982379,102,91,92,#665b5c,810.665
39.5721112,5.14857293,0.656513077,39.5721112,5.19026133,7.26677528,0.111112509,0.109950377,0.115572527,102,90,92,#665a5c,819.2025
39.5354664,5.14488957,0.663260944,39.5354664,5.18746602,7.34585311,0.110892455,0.109733013,0.115317921,102,90,92,#665a5c,827.3075
39.4956016,5.14027796,0.678827331,39.4956016,5.18490733,7.52297354,0.110652574,0.109496874,0.115011491,102,90,92,#665a5c,834.1575
39.4362017,5.14297961,0.68840158,39.4362017,5.18884727,7.62387772,0.110308764,0.10914565,0.114605251,102,90,92,#665a5c,841.3825
39.3909187,5.14433294,0.694476548,39.3909187,5.19099789,7.6883559,0.110046186,0.108878402,0.114300627,102,90,92,#665a5c,848.6625
39.3509256,5.12822308,0.710697581,39.3509256,5.17723507,7.8901105,0.10979124,0.108642737,0.113992841,102,90,92,#665a5c,855.31
39.3113015,5.13325865,0.712515507,39.3113015,5.18247264,7.90237639,0.10956737,0.108409581,0.113739816,102,90,92,#665a5c,862.3675
39.2632039,5.13185675,0.714102104,39.2632039,5.1813025,7.92188602,0.109285911,0.108127014,0.113435417,101,90,91,#655a5b,868.8425
39.2255583,5.12998591,0.73448868,39.2255583,5.18229959,8.14798145,0.109064911,0.107906195,0.113128762,101,90,91,#655a5b,874.1975
39.1800096,5.11979675,0.741215332,39.1800096,5.173173,8.2377252,0.108787268,0.10763942,0.112822783,101,89,91,#65595b,881.085
39.1475731,5.11188998,0.77139658,39.1475731,5.16976516,8.58132613,0.108588965,0.10744971,0.112514322,101,89,91,#65595b,887.595
39.1157713,5.09053023,0.788642233,39.1157713,5.15125757,8.80644685,0.108376543,0.107263929,0.112256554,101,89,91,#65595b,893.3675
39.075808,5.09558704,0.790597477,39.075808,5.15655425,8.8193138,0.108152674,0.107030774,0.112003529,101,89,91,#65595b,899.315
39.0384991,5.0918274,0.79767979,39.0384991,5.15393048,8.90352444,0.10793262,0.106813409,0.111748923,101,89,91,#65595b,904.175
39.0085295,5.08665476,0.832729098,39.0085295,5.15436654,9.29733912,0.107753198,0.106639018,0.111440237,101,89,91,#65595b,908.745
38.969005,5.08988473,0.821131354,38.969005,5.15569426,9.16434605,0.107530274,0.106409318,0.11123926,101,89,91,#65595b,913.225
38.9310365,5.07630331,0.842464185,38.9310365,5.14573622,9.42293273,0.107294209,0.106188972,0.11093125,101,89,90,#65595a,918.03
38.907945,5.08281503,0.845439867,38.907945,5.15264759,9.44372014,0.107170453,0.106055111,0.110779616,101,89,90,#65595a,923.145
38.8651124,5.0734224,0.843397023,38.8651124,5.14304709,9.43843927,0.106912637,0.10580711,0.110525459,100,89,90,#64595a,929.27
38.834953,5.06821432,0.878758646,38.834953,5.14383254,9.83650708,0.106733215,0.105632719,0.110216774,100,89,90,#64595a,935.38
38.7838765,5.07380123,0.861785944,38.7838765,5.14646811,9.63970097,0.106448886,0.105337816,0.109966004,100,89,90,#64595a,941.76
38.7570497,5.04604417,0.889232875,38.7570497,5.12379712,9.9942641,0.106259161,0.105183145,0.10970643,100,88,90,#64585a,948.155
